step,dataset,labels_micro_f1,labels_macro_f1,labels_jaccard,openness_accuracy,openness_f1,openness_precision_macro,openness_precision_micro,openness_recall_macro,openness_recall_micro,num_samples,predictions_file,eval_dir,model
1,labels_only_test,0.4473684210526316,0.36762908481503104,0.2986058301647655,0.49429657794676807,0.47667498100023664,0.598883508205542,0.49429657794676807,0.4602631370791257,0.49429657794676807,263,/nfs/home/tanz/dd2/outputs/checkpoint/qwen+label_only+1.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/qwen_labels_only/checkpoint-1,qwen
2,labels_only_test,0.7471590909090909,0.6197948176161197,0.626552598225602,0.623574144486692,0.6007133071051421,0.6535423603403626,0.623574144486692,0.599134594821045,0.623574144486692,263,/nfs/home/tanz/dd2/outputs/checkpoint/qwen+label_only+2.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/qwen_labels_only/checkpoint-2,qwen
3,labels_only_test,0.729381443298969,0.5995452010151006,0.638584102842658,0.5399239543726235,0.5393544250809926,0.5784226526162011,0.5399239543726235,0.6031188569854956,0.5399239543726235,263,/nfs/home/tanz/dd2/outputs/checkpoint/qwen+label_only+3.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/qwen_labels_only/checkpoint-3,qwen
4,labels_only_test,0.7667560321715817,0.6407078894860727,0.6779467680608365,0.6577946768060836,0.6556645104141867,0.6613300492610837,0.6577946768060836,0.6749146752679857,0.6577946768060836,263,/nfs/home/tanz/dd2/outputs/checkpoint/qwen+label_only+4.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/qwen_labels_only/checkpoint-4,qwen
5,labels_only_test,0.7707182320441989,0.645163745490863,0.6848542458808619,0.6768060836501901,0.6571291225049102,0.7428753877029739,0.6768060836501901,0.6496784759025379,0.6768060836501901,263,/nfs/home/tanz/dd2/outputs/checkpoint/qwen+label_only+5.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/qwen_labels_only/checkpoint-5,qwen
6,labels_only_test,0.7858117326057299,0.6278469029094643,0.6949302915082383,0.6273764258555133,0.6089408826018502,0.7036231884057971,0.6273764258555133,0.5803364943766242,0.6273764258555133,263,/nfs/home/tanz/dd2/outputs/checkpoint/qwen+label_only+6.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/qwen_labels_only/checkpoint-6,qwen
7,labels_only_test,0.7690253671562083,0.6171896179267998,0.6782636248415715,0.6730038022813688,0.6724291165792546,0.7168956670636403,0.6730038022813688,0.6590233284408938,0.6730038022813688,263,/nfs/home/tanz/dd2/outputs/checkpoint/qwen+label_only+7.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/qwen_labels_only/checkpoint-7,qwen
8,labels_only_test,0.7758389261744967,0.6177428385791436,0.6711026615969582,0.6501901140684411,0.6517714568161934,0.6670274170274171,0.6501901140684411,0.6739584523485175,0.6501901140684411,263,/nfs/home/tanz/dd2/outputs/checkpoint/qwen+label_only+8.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/qwen_labels_only/checkpoint-8,qwen
9,labels_only_test,0.7961696306429549,0.6352899407690029,0.6861850443599493,0.6273764258555133,0.624852317154677,0.6249900461856983,0.6273764258555133,0.6699132544097872,0.6273764258555133,263,/nfs/home/tanz/dd2/outputs/checkpoint/qwen+label_only+9.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/qwen_labels_only/checkpoint-9,qwen
10,labels_only_test,0.7906976744186046,0.6395347636640444,0.6858048162230672,0.6159695817490495,0.6030345092722995,0.6009712509712509,0.6159695817490495,0.6495120743650814,0.6159695817490495,263,/nfs/home/tanz/dd2/outputs/checkpoint/qwen+label_only+10.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/qwen_labels_only/checkpoint-10,qwen
